Date,StreamOut_Q,HortSroff2Stream_Q,DunnSroff2Stream_Q,Interflow2Stream_Q,Stream2Unsat_Q,StreamExchng2Sat_Q,Canopy_S,SnowPweqv_S,Imperv_S,Dprst_S,Cap_S,Grav_S,Unsat_S,Sat_S,UnsatStream_S,Lake_S,Stream_S,Precip_Q,NetBoundaryFlow2Sat_Q,NetWellFlow_Q,BoundaryStreamFlow_Q,CanopyEvap_Q,SnowEvap_Q,ImpervEvap_Q,DprstEvap_Q,CapET_Q,SwaleEvap_Q,UnsatET_Q,SatET_Q,LakeEvap_Q,DunnInterflow2Lake_Q,HortSroff2Lake_Q,Lake2Unsat_Q,LakeExchng2Sat_Q,SoilDrainage2Unsat_Q,Sat2Grav_Q,RechargeUnsat2Sat_Q,Infil2Soil_Q
10/1/1980,6301.35,0,0,0,0,-6301.35,0,0,0,0,77987.28,0.98,9138827,164352200,29.72,0,0,0,-724.06,0,0,0,0,0,0,7627.05,0,0,0,0,0,0,0,0,0,15896.37,21055.22,0
10/2/1980,6210.19,0,0,0,0,-6210.19,0,0,0,0,85961.18,0.1,9117909,164350400,29.72,0,0,0,-724.04,0,0,0,0,0,0,7867.54,0,0,0,0,0,0,0,0,0,15840.42,20952.99,0
10/3/1980,6158,0,0,0,0,-6158.01,0,0,0,0,93205.27,0.28,9097081,164348600,29.72,0,0,0,-724.02,0,0,0,0,0,0,8556.31,0,0,0,0,0,0,0,0,0,15801.63,20862.45,0
10/4/1980,6127.29,0,0,0,0,-6127.29,0,0,0,0,99712.34,0.27,9076360,164346700,29.72,0,0,0,-724,0,0,0,0,0,0,9261.48,0,0,0,0,0,0,0,0,0,15768.83,20755.21,0
10/5/1980,6107.66,0,0,0,0,-6107.66,0,0,0,0,103847.8,0.27,9055752,164344800,29.72,0,0,0,-723.97,0,0,0,0,0,0,11604.04,0,0,0,0,0,0,0,0,0,15739.36,20642.29,0
10/6/1980,6093.94,0,0,0,0,-6093.94,0,0,0,0,108229.6,0.27,9035264,164342800,29.72,0,0,0,-723.93,0,0,0,0,0,0,11330.46,0,0,0,0,0,0,0,0,0,15712.01,20522.29,0
10/7/1980,6083.36,0,0,0,0,-6083.36,0,0,0,0,114755.9,0.26,9014882,164340700,29.72,0,0,0,-723.9,0,0,0,0,0,0,9159.87,0,0,0,0,0,0,0,0,0,15686.58,20416.07,0
10/8/1980,6073.83,0,0,0,0,-6073.83,0,0,0,0,120558,0.26,8994614,164338600,29.72,0,0,0,-723.86,0,0,0,0,0,0,9860.69,0,0,0,0,0,0,0,0,0,15662.24,20301.12,0
10/9/1980,6064.14,0,0,0,0,-6064.14,0,0,0,0,127164.3,0.02,8974457,164336300,29.72,0,0,0,-723.85,0,0,0,0,0,0,9032.76,0,0,0,0,0,0,0,0,0,15638.76,20189.95,0
10/10/1980,6052.98,0,0,0,0,-6052.98,0,0,0,0,134465.9,0.02,8954411,164334000,29.73,0,0,0,-723.82,0,0,0,0,0,0,8314.5,0,0,0,0,0,0,0,0,0,15616.01,20079.14,0
10/11/1980,6039.2,0,0,0,0,-6039.21,0,0,0,0,141535.7,0.26,8934469,164331700,29.73,0,0,0,-723.81,0,0,0,0,0,0,8524.21,0,0,0,0,0,0,0,0,0,15593.72,19974.15,0
10/12/1980,11388.7,32.67,0,6564.75,0,-4826.49,51368.9,60348.11,0,0,492531,16293.86,8914476,164330300,64.94,0,0,486025.4,-724.22,0,0,0,0,0,0,16294.4,0,0,0,0,0,0,0,0,0,15872.52,20025.34,374275.7
10/13/1980,8082.86,0,0,2476.85,0,-5600.84,20558.01,32642.73,0,0,537294.3,12097.58,8894743,164327900,59.77,0,0,0,-724.2,0,0,30810.89,0,0,0,452.63,0,0,0,0,0,0,0,0,0,15790.35,19765.58,27705.38
10/14/1980,7705.38,0,0,2055.21,0,-5646.91,69010.13,114740.2,0,0,576091.4,9728.38,8875144,164325400,56.51,0,0,164754.4,-724.16,0,0,0,0,0,0,11485.15,0,0,0,0,0,0,0,0,0,15763.03,19630.21,34204.84
10/15/1980,7008.31,0,0,1251.15,0,-5753.4,69010.13,145061.4,0,0,586417.9,6758.46,8855685,164322700,52.74,0,0,32950.88,-724.08,0,0,0,0,0,0,9726.42,0,0,0,0,0,0,0,0,0,15705.22,19491.13,2629.66
10/16/1980,7213.84,2.39,0,1485.98,0,-5724.47,69010.13,165032.7,0,0,618499.9,6129.83,8836333,164320000,51.74,0,0,49426.32,-724.04,0,0,0,0,0,0,12181.37,0,0,0,0,0,0,0,0,0,15668.04,19382.62,29452.59
10/17/1980,7629.86,0,0,2107.44,0,-5527.16,43518.71,101409.6,0,0,694265.7,7499.58,8817078,164317400,56.47,0,0,0,-724.05,0,0,25491.41,0,0,0,86.61,0,0,0,0,0,0,0,0,1.87,15706.75,19288.36,63623.14
10/18/1980,8130.12,0,0,2732.98,0,-5400.52,5979.63,23262.6,0,0,775860.7,9382.28,8797900,164314800,59.85,0,0,0,-724.08,0,0,37539.08,0,0,0,7631.01,0,0,0,0,0,0,0,0,7.42,15702.18,19216.14,78147
10/19/1980,7396.93,0,0,1811.56,0,-5580.1,156.8,2192.22,0,0,770448.7,8335.34,8778904,164311900,54.58,0,0,0,-724.03,0,0,5822.82,0,0,0,41341.85,0,0,0,0,0,0,0,0,48.43,15672.73,19074.82,21070.38
10/20/1980,7102.81,0,0,1459.32,0,-5640.22,0,0,0,0,732101.1,6710.81,8760039,164308800,51.31,0,0,0,-723.97,0,0,156.8,0,0,0,56307.74,0,0,0,0,0,0,0,0,45.1,15648.06,18940.88,2192.22
10/21/1980,6945.93,0,0,1232.15,0,-5711.65,0,0,0,0,713190.2,5387.84,8741267,164305600,49.17,0,0,0,-723.92,0,0,0,0,0,0,34555.86,0,0,0,0,0,0,0,0,20.33,15577.07,18822.17,0
10/22/1980,6860.95,0,0,1098.99,0,-5760.03,0,0,0,0,698989.4,4527.61,8722619,164302300,47.24,0,0,0,-723.88,0,0,0,0,0,0,29452.34,0,0,0,0,0,0,0,0,22.17,15515.21,18699.71,0
10/23/1980,6802.79,0,0,1012.87,0,-5788.28,0,0,0,0,670601.1,3960.17,8704093,164298900,45.61,0,0,0,-723.84,0,0,0,0,0,0,43384.94,0,0,0,0,0,0,0,0,23.06,15467.6,18578.37,0
10/24/1980,6736.7,0,0,929.79,0,-5805.67,0,0,0,0,658410,3507.37,8685679,164295400,44.36,0,0,0,-723.8,0,0,0,0,0,0,27119.7,0,0,0,0,0,0,0,0,22.03,15428.26,18464.88,0
10/25/1980,9222.25,7.13,0,4038.84,0,-5190.11,69010.13,4914.04,0,0,806602,11808.51,8667385,164292400,58.19,0,0,238893.9,-723.98,0,0,0,0,0,0,19914.63,0,0,0,0,0,0,0,0,119.11,15599.02,18442.09,164962.6
